Marketing Spend,Administration,R&DSpend,Profit
41399.517110625646,281433.13578877837,148639.20714638487,153131.70928370656
55389.55644442503,332035.6474547111,207300.40544753117,175072.40081991433
62741.63862801499,345808.6200467954,217994.73093917297,179645.49206480582
45734.07514096611,302874.5920786714,185453.4949025452,156546.78118048617
48614.71049606521,343507.40350599645,182225.81709804703,168647.43446348497
61120.43087763135,341442.7800308881,182916.72802958058,167477.03148502117
35478.657772608974,272141.5126556794,144725.7158599838,137286.1682293052
56527.772136903935,318345.77529876644,197496.32504417372,166241.41286527226
38015.9971912783,347496.8409762223,207256.75897600068,154475.05418455953
51762.18838685514,321640.0225390827,209569.08818345482,171054.78582595504
53969.791872411915,360783.89431664464,164261.63904550436,163349.36734514622
34074.40622981878,319655.7971966385,215028.30863106815,153949.38722566623
53004.46261705991,296720.5691827851,181522.9954378108,171629.07161149514
39396.69565126316,259022.97355958234,145979.19959843214,140566.13055925167
37369.06294576122,244042.63504494604,156077.9244392094,140126.468908404
34156.276017051685,340738.32085546956,182758.79765036542,172291.69390008185
46497.200253483454,299821.99631684,171054.91943580814,154214.81049652738
50979.19382700361,296811.2634786782,216664.61147397323,154380.6085477916
51114.79061664188,301776.5025241397,206130.01923509245,167379.6382986308
61084.62632774398,309929.30138581654,172043.20198971836,170593.86228495912
40115.19745044553,278135.4695614828,162312.68008002022,151256.41434165867
63525.441592154166,321335.2280755158,203545.12405697745,164925.13374754137
34674.36682359109,331379.0863004968,180376.47415861502,165142.32882883924
43822.09813760413,248884.9493533958,182860.612267522,152701.87063527
35454.36324622323,321577.650381618,183256.25116282707,161842.3046627067
24684.660908722446,235844.56639883408,134350.67662093023,128292.84336215162
62777.9353671212,336295.82244511455,191158.54075270653,177758.92200727304
54680.98726544993,303270.74966351636,207907.16085505814,165493.13779093963
45071.736194286466,319120.85995140066,184722.31578482638,158072.3332663656
51784.70648701609,373590.5961081364,185743.70484810375,187401.23563707134
74127.1297270813,321864.5949929335,204084.1918869521,166478.5216804999
39455.12263088848,260476.76685615012,176357.92994252444,142443.95979445305
58900.54807752557,316092.6792123721,279949.52458560176,182995.29272377343
65003.13559168285,329988.781801307,224349.625583579,172129.58099577797
42732.64968582595,267859.65629330475,170585.8179828115,150779.82372955693
65248.554172847056,351600.3227229026,183302.61294305805,186032.05456421824
68197.49589733669,374001.03244405036,196662.11353093304,183136.83737944867
64066.2000685539,325027.55883787165,187408.80710857164,179827.1759227309
57558.5266966098,298357.5046116671,184600.0945229604,167652.55355144545
62786.64990961694,303262.41820580466,207866.93833094183,165584.74206932232
51877.057525098215,310193.7258466996,195245.44974272937,161197.71182003416
54253.21742606107,314808.11158106255,220790.23259010448,173371.57445190006
49929.47274898049,273917.8093322014,163195.37892260205,158292.96256691453
34101.143024885874,275968.93497078307,161407.4271555034,150192.1254793522
59672.67492573038,335210.97846773284,202669.36586089528,178629.34040328968
78172.07187463668,342770.6600039963,235292.1855914652,189038.05284705482
40414.33276461966,269385.93020545476,129439.84069199194,157692.98004282417
37002.40298215141,274420.41027093877,140592.28170846732,149732.65800905132
65098.84973519773,380641.5608031525,217450.91843899008,192931.8978553102
39447.01742434911,297529.1821991324,167385.8525469342,160619.81159046318
45207.78995240847,315378.050137978,207648.77643492195,163796.90898206749
44143.79325002,346610.11267307284,183687.81623195182,167938.36920250344
49102.61367505886,296522.65273044194,172615.6602721744,161959.6781802128
52639.20759502879,325793.6530474236,156799.53262091166,161708.18518108703
68226.64786967519,323820.88835554,211671.63137811667,177424.0840921074
56156.360721417426,296756.9408841575,165493.87381279274,173994.79765098687
56164.71025031858,327916.9134685206,191498.44983526127,175813.58812602024
37179.92626596682,261227.39841135874,163573.00375146064,136496.65585061794
33275.75789056822,249269.5129022251,148925.2829551464,131289.71533372777
54497.62302295606,341339.1471970508,194212.2944900612,177073.7751065544
64978.9012108275,352467.22605706635,204673.74540642233,181688.07126701923
39295.905286134635,278191.2677799387,186258.03511711024,162015.05273806246
49793.190280255934,277471.63205728715,175458.98895494864,162690.83472829507
79239.78888515927,351443.23118869803,187637.46350966315,185851.84688150667
40572.53019204937,303801.56736491615,191041.99068144048,158232.33970132418
26312.7536662163,298353.9888865672,124911.3272906536,148383.15427594545
76434.42752032385,396282.2155853344,264635.4889138521,212936.08750266174
55935.89191902137,313973.328335073,247915.21657999099,172886.58464912238
74795.10153776358,330968.3675291629,224331.3980223087,174859.81782664335
46826.62815640701,283638.20371336775,182931.65901545793,148913.88502648083
53204.94178062088,314252.0799131653,194113.46840809574,162266.5647576978
58056.21723859838,287021.75563802954,189237.5683727831,158233.78790349377
72734.94152387851,380371.0455129571,217527.98667505302,194081.18045755167
41168.60934669491,296190.9045630722,149951.9721314665,150656.98814489963
48626.273323560614,346565.6322180867,216003.89315897168,166441.68308982783
59977.22197260413,307653.4156510314,175765.66146677948,161943.22128443478
46928.85436456095,310849.8762711237,217890.95132469365,160934.0648041755
47201.259353722366,320894.35676017817,213201.56493678846,166614.6185056691
